"symbol_code","text_codes","primary_symbol_label","all_labels"
"1","","noSym","noSym | NONE"
"2","","accidentalNatural","accidentalNatural | medRenNatural | accidentalNaturalArabic | NATURAL"
"3","#x","accidentalTripleSharp","accidentalTripleSharp | SHARP3"
"4","x","accidentalDoubleSharp","accidentalDoubleSharp | accidentalSharpSharp | accidentalDoubleSharpArabic | SHARP2 | SHARP_SHARP"
"5","#","accidentalSharp","accidentalSharp | accidentalBakiyeSharp | accidentalWyschnegradsky6TwelfthsSharp | accidentalSharpArabic | accidentalNaturalSharp | SHARP | NATURAL_SHARP"
"6","b","accidentalFlat","accidentalFlat | accidentalKucukMucennebFlat | accidentalWyschnegradsky6TwelfthsFlat | accidentalFlatArabic | accidentalNaturalFlat | FLAT | NATURAL_FLAT"
"7","bb","accidentalDoubleFlat","accidentalDoubleFlat | accidentalDoubleFlatArabic | FLAT2"
"8","bbb","accidentalTripleFlat","accidentalTripleFlat | FLAT3"
"9","#+","accidentalThreeQuarterTonesSharpStein","accidentalThreeQuarterTonesSharpStein | accidentalWyschnegradsky9TwelfthsSharp | accidentalThreeQuarterTonesSharpArabic | SHARP_SLASH4 | NINE_TWELFTH_SHARP"
"10","+","accidentalQuarterToneSharpStein","accidentalQuarterToneSharpStein | accidentalWyschnegradsky3TwelfthsSharp | accidentalKomaSharp | accidentalQuarterToneSharpArabic | SHARP_SLASH | THREE_TWELFTH_SHARP"
"11","D","accidentalQuarterToneFlatFilledReversed","accidentalQuarterToneFlatFilledReversed"
"12","d","accidentalQuarterToneFlatStein","accidentalQuarterToneFlatStein | accidentalNarrowReversedFlat | accidentalKomaFlat | accidentalLowerOneUndecimalQuartertone | MIRRORED_FLAT"
"13","B","accidentalQuarterToneFlatPenderecki","accidentalQuarterToneFlatPenderecki"
"14","db","accidentalThreeQuarterTonesFlatZimmermann","accidentalThreeQuarterTonesFlatZimmermann | accidentalNarrowReversedFlatAndFlat | accidentalThreeQuarterTonesFlatCouper | MIRRORED_FLAT2"
"15","Db","accidentalFilledReversedFlatAndFlat","accidentalFilledReversedFlatAndFlat"
"16","b//","accidentalBuyukMucennebFlat","accidentalBuyukMucennebFlat | FLAT_SLASH2"
"17","b/","accidentalBakiyeFlat","accidentalBakiyeFlat | accidentalQuarterToneFlatArabic | accidentalOneQuarterToneFlatStockhausen | FLAT_SLASH"
"18","E","accidentalKucukMucennebSharp","accidentalKucukMucennebSharp | SHARP_SLASH3"
"19","E|","accidentalBuyukMucennebSharp","accidentalBuyukMucennebSharp | SHARP_SLASH2"
"20","|b","accidentalThreeQuarterTonesFlatArabic","accidentalThreeQuarterTonesFlatArabic | accidentalThreeQuarterTonesFlatGrisey"
"21","|E","accidentalThreeQuarterTonesSharpStockhausen","accidentalThreeQuarterTonesSharpStockhausen"
"22","x^3","accidentalDoubleSharpThreeArrowsUp","accidentalDoubleSharpThreeArrowsUp | DOUBLE_SHARP_THREE_ARROWS_UP"
"23","x^2","accidentalDoubleSharpTwoArrowsUp","accidentalDoubleSharpTwoArrowsUp | DOUBLE_SHARP_TWO_ARROWS_UP"
"24","x^","accidentalDoubleSharpOneArrowUp","accidentalDoubleSharpOneArrowUp | accidentalFiveQuarterTonesSharpArrowUp | SHARP2_ARROW_UP | DOUBLE_SHARP_ONE_ARROW_UP"
"25","xv","accidentalDoubleSharpOneArrowDown","accidentalDoubleSharpOneArrowDown | accidentalThreeQuarterTonesSharpArrowDown | SHARP2_ARROW_DOWN | DOUBLE_SHARP_ONE_ARROW_DOWN"
"26","xv2","accidentalDoubleSharpTwoArrowsDown","accidentalDoubleSharpTwoArrowsDown | DOUBLE_SHARP_TWO_ARROWS_DOWN"
"27","xv3","accidentalDoubleSharpThreeArrowsDown","accidentalDoubleSharpThreeArrowsDown | DOUBLE_SHARP_THREE_ARROWS_DOWN"
"28","#+^","accidentalOneAndAHalfSharpsArrowUp","accidentalOneAndAHalfSharpsArrowUp"
"29","#+v","accidentalOneAndAHalfSharpsArrowDown","accidentalOneAndAHalfSharpsArrowDown"
"30","#^3","accidentalSharpThreeArrowsUp","accidentalSharpThreeArrowsUp | SHARP_THREE_ARROWS_UP"
"31","#^2","accidentalSharpTwoArrowsUp","accidentalSharpTwoArrowsUp | SHARP_TWO_ARROWS_UP"
"32","#^","accidentalSharpOneArrowUp","accidentalSharpOneArrowUp | accidentalThreeQuarterTonesSharpArrowUp | accidentalSharpRaisedStockhausen | SHARP_ARROW_UP | SHARP_ONE_ARROW_UP"
"33","#v","accidentalSharpOneArrowDown","accidentalSharpOneArrowDown | accidentalQuarterToneSharpArrowDown | accidentalSharpLoweredStockhausen | SHARP_ARROW_DOWN | SHARP_ONE_ARROW_DOWN"
"34","#v2","accidentalSharpTwoArrowsDown","accidentalSharpTwoArrowsDown | SHARP_TWO_ARROWS_DOWN"
"35","#v3","accidentalSharpThreeArrowsDown","accidentalSharpThreeArrowsDown | SHARP_THREE_ARROWS_DOWN"
"36","+^","accidentalHalfSharpArrowUp","accidentalHalfSharpArrowUp"
"37","+v","accidentalHalfSharpArrowDown","accidentalHalfSharpArrowDown"
"38","^3","accidentalNaturalThreeArrowsUp","accidentalNaturalThreeArrowsUp | NATURAL_THREE_ARROWS_UP"
"39","^2","accidentalNaturalTwoArrowsUp","accidentalNaturalTwoArrowsUp | NATURAL_TWO_ARROWS_UP"
"40","^","accidentalNaturalOneArrowUp","accidentalNaturalOneArrowUp | accidentalQuarterToneSharpNaturalArrowUp | accidentalNaturalRaisedStockhausen | NATURAL_ARROW_UP | NATURAL_ONE_ARROW_UP"
"41","/","accidentalArrowUp","accidentalArrowUp | accidentalCombiningLower23Limit29LimitComma | accidentalRaisedStockhausen | ARROW_UP"
"42","v","accidentalNaturalOneArrowDown","accidentalNaturalOneArrowDown | accidentalQuarterToneFlatNaturalArrowDown | accidentalNaturalLoweredStockhausen | NATURAL_ARROW_DOWN | NATURAL_ONE_ARROW_DOWN"
"43","\","accidentalArrowDown","accidentalArrowDown | accidentalCombiningRaise23Limit29LimitComma | accidentalLoweredStockhausen | ARROW_DOWN"
"44","v2","accidentalNaturalTwoArrowsDown","accidentalNaturalTwoArrowsDown | NATURAL_TWO_ARROWS_DOWN"
"45","v3","accidentalNaturalThreeArrowsDown","accidentalNaturalThreeArrowsDown | NATURAL_THREE_ARROWS_DOWN"
"46","d^","accidentalReversedFlatArrowUp","accidentalReversedFlatArrowUp"
"47","D^","accidentalFilledReversedFlatArrowUp","accidentalFilledReversedFlatArrowUp"
"48","dv","accidentalReversedFlatArrowDown","accidentalReversedFlatArrowDown"
"49","Dv","accidentalFilledReversedFlatArrowDown","accidentalFilledReversedFlatArrowDown"
"50","b^3","accidentalFlatThreeArrowsUp","accidentalFlatThreeArrowsUp | FLAT_THREE_ARROWS_UP"
"51","b^2","accidentalFlatTwoArrowsUp","accidentalFlatTwoArrowsUp | FLAT_TWO_ARROWS_UP"
"52","b^","accidentalFlatOneArrowUp","accidentalFlatOneArrowUp | accidentalQuarterToneFlatArrowUp | accidentalFlatRaisedStockhausen | FLAT_ARROW_UP | FLAT_ONE_ARROW_UP"
"53","bv","accidentalFlatOneArrowDown","accidentalFlatOneArrowDown | accidentalThreeQuarterTonesFlatArrowDown | accidentalFlatLoweredStockhausen | FLAT_ARROW_DOWN | FLAT_ONE_ARROW_DOWN"
"54","bv2","accidentalFlatTwoArrowsDown","accidentalFlatTwoArrowsDown | FLAT_TWO_ARROWS_DOWN"
"55","bv3","accidentalFlatThreeArrowsDown","accidentalFlatThreeArrowsDown | FLAT_THREE_ARROWS_DOWN"
"56","db^","accidentalReversedFlatAndFlatArrowUp","accidentalReversedFlatAndFlatArrowUp"
"57","Db^","accidentalFilledReversedFlatAndFlatArrowUp","accidentalFilledReversedFlatAndFlatArrowUp"
"58","dbv","accidentalReversedFlatAndFlatArrowDown","accidentalReversedFlatAndFlatArrowDown"
"59","Dbv","accidentalFilledReversedFlatAndFlatArrowDown","accidentalFilledReversedFlatAndFlatArrowDown"
"60","bb^3","accidentalDoubleFlatThreeArrowsUp","accidentalDoubleFlatThreeArrowsUp | DOUBLE_FLAT_THREE_ARROWS_UP"
"61","bb^2","accidentalDoubleFlatTwoArrowsUp","accidentalDoubleFlatTwoArrowsUp | DOUBLE_FLAT_TWO_ARROWS_UP"
"62","bb^","accidentalDoubleFlatOneArrowUp","accidentalDoubleFlatOneArrowUp | accidentalThreeQuarterTonesFlatArrowUp | FLAT2_ARROW_UP | DOUBLE_FLAT_ONE_ARROW_UP"
"63","bbv","accidentalDoubleFlatOneArrowDown","accidentalDoubleFlatOneArrowDown | accidentalFiveQuarterTonesFlatArrowDown | FLAT2_ARROW_DOWN | DOUBLE_FLAT_ONE_ARROW_DOWN"
"64","bbv2","accidentalDoubleFlatTwoArrowsDown","accidentalDoubleFlatTwoArrowsDown | DOUBLE_FLAT_TWO_ARROWS_DOWN"
"65","bbv3","accidentalDoubleFlatThreeArrowsDown","accidentalDoubleFlatThreeArrowsDown | DOUBLE_FLAT_THREE_ARROWS_DOWN"
"66","#>","accidentalSharpRepeatedLineStockhausen","accidentalSharpRepeatedLineStockhausen"
"67","#|>","accidentalSharpRepeatedSpaceStockhausen","accidentalSharpRepeatedSpaceStockhausen"
"68","b>","accidentalFlatRepeatedLineStockhausen","accidentalFlatRepeatedLineStockhausen"
"69","b|>","accidentalFlatRepeatedSpaceStockhausen","accidentalFlatRepeatedSpaceStockhausen"
"70","u77","accidentalRaiseTwoSeptimalCommas","accidentalRaiseTwoSeptimalCommas"
"71","u7","accidentalRaiseOneSeptimalComma","accidentalRaiseOneSeptimalComma"
"72","d7","accidentalLowerOneSeptimalComma","accidentalLowerOneSeptimalComma"
"73","d77","accidentalLowerTwoSeptimalCommas","accidentalLowerTwoSeptimalCommas"
"74","t","accidentalRaiseOneUndecimalQuartertone","accidentalRaiseOneUndecimalQuartertone | accidentalOneQuarterToneSharpStockhausen"
"75","tt","accidentalRaiseOneTridecimalQuartertone","accidentalRaiseOneTridecimalQuartertone"
"76","d|","accidentalLowerOneTridecimalQuartertone","accidentalLowerOneTridecimalQuartertone"
"77","'''","accidentalCombiningRaise53LimitComma","accidentalCombiningRaise53LimitComma"
"78","''","accidentalCombiningRaise17Schisma","accidentalCombiningRaise17Schisma"
"79","'","accidentalCombiningRaise19Schisma","accidentalCombiningRaise19Schisma | accSagittalAcute"
"80","`","accidentalCombiningLower19Schisma","accidentalCombiningLower19Schisma | accSagittalGrave"
"81","``","accidentalCombiningLower17Schisma","accidentalCombiningLower17Schisma"
"82","```","accidentalCombiningLower53LimitComma","accidentalCombiningLower53LimitComma"
"83",">||","accidentalSori","accidentalSori"
"84",">|","accidentalCombiningRaise31Schisma","accidentalCombiningRaise31Schisma"
"85","<|","accidentalCombiningLower31Schisma","accidentalCombiningLower31Schisma"
"86","|>","accidentalKoron","accidentalKoron"
"87","{","accidentalCombiningOpenCurlyBrace","accidentalCombiningOpenCurlyBrace"
"88","}","accidentalCombiningCloseCurlyBrace","accidentalCombiningCloseCurlyBrace"
"89","_bb","accidentalDoubleFlatEqualTempered","accidentalDoubleFlatEqualTempered"
"90","_b","accidentalFlatEqualTempered","accidentalFlatEqualTempered"
"91","_d","accidentalQuarterFlatEqualTempered","accidentalQuarterFlatEqualTempered"
"92","_2","accidentalNaturalEqualTempered","accidentalNaturalEqualTempered"
"93","_t","accidentalQuarterSharpEqualTempered","accidentalQuarterSharpEqualTempered"
"94","_#","accidentalSharpEqualTempered","accidentalSharpEqualTempered"
"95","_x","accidentalDoubleSharpEqualTempered","accidentalDoubleSharpEqualTempered"
"96","aprx","accidentalEnharmonicAlmostEqualTo","accidentalEnharmonicAlmostEqualTo"
"97","=","accidentalEnharmonicEquals","accidentalEnharmonicEquals"
"98","~","accidentalEnharmonicTilde","accidentalEnharmonicTilde"
"99","","medRenSharpCroix","medRenSharpCroix"
"100","","medRenNaturalWithCross","medRenNaturalWithCross"
"101","","medRenFlatSoftB","medRenFlatSoftB"
"102","","medRenFlatHardB","medRenFlatHardB"
"103","","medRenFlatWithDot","medRenFlatWithDot"
"104","j+","accidentalJohnstonPlus","accidentalJohnstonPlus"
"105","j-","accidentalJohnstonMinus","accidentalJohnstonMinus"
"106","ju7","accidentalJohnstonEl","accidentalJohnstonEl"
"107","jd7","accidentalJohnstonSeven","accidentalJohnstonSeven"
"108","j/","accidentalJohnstonUp","accidentalJohnstonUp"
"109","j\","accidentalJohnstonDown","accidentalJohnstonDown"
"110","ju13","accidentalJohnston13","accidentalJohnston13"
"111","jd13","accidentalJohnston31","accidentalJohnston31"
"112","s^3","accidentalSims4Up","accidentalSims4Up"
"113","s^2","accidentalSims6Up","accidentalSims6Up"
"114","s^","accidentalSims12Up","accidentalSims12Up"
"115","sv","accidentalSims12Down","accidentalSims12Down"
"116","sv2","accidentalSims6Down","accidentalSims6Down"
"117","sv3","accidentalSims4Down","accidentalSims4Down"
"118","#+=","accidentalWyschnegradsky11TwelfthsSharp","accidentalWyschnegradsky11TwelfthsSharp"
"119","#+-","accidentalWyschnegradsky10TwelfthsSharp","accidentalWyschnegradsky10TwelfthsSharp"
"120","#=","accidentalWyschnegradsky8TwelfthsSharp","accidentalWyschnegradsky8TwelfthsSharp"
"121","#-","accidentalWyschnegradsky7TwelfthsSharp","accidentalWyschnegradsky7TwelfthsSharp"
"122","+=","accidentalWyschnegradsky5TwelfthsSharp","accidentalWyschnegradsky5TwelfthsSharp"
"123","+-","accidentalWyschnegradsky4TwelfthsSharp","accidentalWyschnegradsky4TwelfthsSharp"
"124","|=","accidentalWyschnegradsky2TwelfthsSharp","accidentalWyschnegradsky2TwelfthsSharp"
"125","|-","accidentalWyschnegradsky1TwelfthsSharp","accidentalWyschnegradsky1TwelfthsSharp"
"126","h=","accidentalWyschnegradsky1TwelfthsFlat","accidentalWyschnegradsky1TwelfthsFlat"
"127","h-","accidentalWyschnegradsky2TwelfthsFlat","accidentalWyschnegradsky2TwelfthsFlat"
"128","h","accidentalWyschnegradsky3TwelfthsFlat","accidentalWyschnegradsky3TwelfthsFlat"
"129","b=","accidentalWyschnegradsky4TwelfthsFlat","accidentalWyschnegradsky4TwelfthsFlat"
"130","b-","accidentalWyschnegradsky5TwelfthsFlat","accidentalWyschnegradsky5TwelfthsFlat"
"131","bh=","accidentalWyschnegradsky7TwelfthsFlat","accidentalWyschnegradsky7TwelfthsFlat"
"132","bh-","accidentalWyschnegradsky8TwelfthsFlat","accidentalWyschnegradsky8TwelfthsFlat"
"133","bh","accidentalWyschnegradsky9TwelfthsFlat","accidentalWyschnegradsky9TwelfthsFlat"
"134","bb=","accidentalWyschnegradsky10TwelfthsFlat","accidentalWyschnegradsky10TwelfthsFlat"
"135","bb-","accidentalWyschnegradsky11TwelfthsFlat","accidentalWyschnegradsky11TwelfthsFlat"
"136","","accidentalXenakisOneThirdToneSharp","accidentalXenakisOneThirdToneSharp"
"137","","accidentalXenakisTwoThirdTonesSharp","accidentalXenakisTwoThirdTonesSharp"
"138","","accidentalQuarterToneSharpBusotti","accidentalQuarterToneSharpBusotti"
"139","","accidentalSharpOneHorizontalStroke","accidentalSharpOneHorizontalStroke"
"140","","accidentalThreeQuarterTonesSharpBusotti","accidentalThreeQuarterTonesSharpBusotti"
"141","","accidentalQuarterToneSharpWiggle","accidentalQuarterToneSharpWiggle"
"142","","accidentalTavenerSharp","accidentalTavenerSharp"
"143","","accidentalTavenerFlat","accidentalTavenerFlat"
"144","","accidentalCommaSlashUp","accidentalCommaSlashUp"
"145","","accidentalCommaSlashDown","accidentalCommaSlashDown"
"146","","accidentalWilsonPlus","accidentalWilsonPlus"
"147","","accidentalWilsonMinus","accidentalWilsonMinus"
"148","","accidentalLargeDoubleSharp","accidentalLargeDoubleSharp"
"149","","accidentalQuarterToneSharp4","accidentalQuarterToneSharp4"
"150","","accidentalQuarterToneFlat4","accidentalQuarterToneFlat4"
"151","","accidentalSharpReversed","accidentalSharpReversed"
"152","","accidentalNaturalReversed","accidentalNaturalReversed"
"153","","accidentalFlatTurned","accidentalFlatTurned"
"154","","accidentalDoubleFlatReversed","accidentalDoubleFlatReversed"
"155","","accidentalDoubleFlatTurned","accidentalDoubleFlatTurned"
"156","","accidentalThreeQuarterTonesFlatTartini","accidentalThreeQuarterTonesFlatTartini"
"157","","accidentalQuarterToneFlatVanBlankenburg","accidentalQuarterToneFlatVanBlankenburg"
"158","","accidentalTwoThirdTonesSharpFerneyhough","accidentalTwoThirdTonesSharpFerneyhough"
